Employee_ID,Employee_Name,Gender,Age,Department,Job_Role,City,Joining_Date,Salary,Experience_Years,Performance_Rating,Employment_Status,Manager
E0075,Neha,Female,50,HR,HR Manager,Bangalore,2021-08-31,102476,11,4,Active,P. Singh
E0076,Pooja,Female,33,Sales,Sales Executive,Chennai,2021-10-22,33692,8,5,Active,A. Sharma
E0077,Amit,Female,36,HR,HR Manager,Chennai,2020-11-11,32877,14,4,Resigned,N. Verma
E0078,Vikas,Female,58,HR,HR Manager,Hyderabad,2023-10-06,48484,5,5,Active,S. Mehta
E0079,Pooja,Female,35,Sales,Sales Manager,Pune,2022-08-14,102926,0,4,Active,N. Verma
E0080,Priya,Female,58,Operations,Operations Manager,Kolkata,2019-11-20,57392,9,5,Resigned,S. Mehta
E0081,Karan,Male,21,IT,Software Engineer,Pune,2020-10-26,46517,13,3,Active,N. Verma
E0082,Simran,Female,27,HR,HR Manager,Hyderabad,2022-02-20,32689,3,3,Active,R. Gupta
E0083,Amit,Female,25,Operations,Operations Executive,Delhi,2018-11-02,76410,10,2,Resigned,S. Mehta
E0084,Priya,Female,24,Finance,Finance Analyst,Pune,2022-05-30,96844,2,2,Active,S. Mehta
E0085,Rahul,Female,51,Sales,Sales Manager,Chennai,2022-06-30,60305,11,5,Active,P. Singh
E0086,Pooja,Female,30,Finance,Finance Analyst,Hyderabad,2020-05-24,82161,13,5,Active,R. Gupta
E0087,Nisha,Male,46,Operations,Operations Manager,Bangalore,2023-06-07,81016,8,2,Active,A. Sharma
E0088,Nisha,Male,32,HR,HR Manager,Kolkata,2023-05-11,107170,2,5,Resigned,S. Mehta
E0089,Priya,Male,46,IT,Software Engineer,Pune,2021-06-14,114937,10,5,Active,S. Mehta
E0090,Neha,Female,58,Finance,Accountant,Mumbai,2021-06-28,35388,12,4,Active,P. Singh
E0091,Priya,Female,52,IT,Data Analyst,Bangalore,2019-05-28,114871,11,2,Active,A. Sharma
E0092,Karan,Male,31,HR,HR Manager,Kolkata,2020-06-01,74346,12,5,Active,S. Mehta
E0093,Amit,Female,26,Finance,Accountant,Pune,2018-12-14,41280,10,3,Active,R. Gupta
E0094,Neha,Male,22,Sales,Sales Executive,Delhi,2022-01-06,67161,15,2,Active,S. Mehta
E0095,Simran,Male,46,HR,HR Manager,Kolkata,2020-01-28,34863,4,2,Active,S. Mehta
E0096,Pooja,Female,45,IT,Data Analyst,Kolkata,2020-06-01,44393,0,2,Active,P. Singh
E0097,Rohit,Male,54,Finance,Finance Analyst,Mumbai,2023-05-20,75285,12,2,Active,R. Gupta
E0098,Priya,Female,55,Operations,Operations Executive,Delhi,2023-10-20,113676,10,3,Active,R. Gupta
E0099,Ankit,Female,47,HR,HR Manager,Kolkata,2024-04-07,111065,14,5,Active,N. Verma
E0100,Nisha,Male,25,IT,Software Engineer,Kolkata,2022-10-03,118105,9,4,Resigned,A. Sharma
E0101,Sneha,Male,50,HR,HR Manager,Hyderabad,2020-09-20,41331,3,2,Active,N. Verma
E0102,Rohit,Female,35,Operations,Operations Executive,Kolkata,2022-09-06,60752,13,3,Resigned,R. Gupta
E0103,Priya,Male,37,Operations,Operations Executive,Hyderabad,2023-12-09,32671,8,3,Active,R. Gupta
E0104,Simran,Female,42,HR,HR Executive,Delhi,2019-10-19,83039,11,5,Active,P. Singh
E0105,Vikas,Male,47,Operations,Operations Executive,Bangalore,2023-06-28,119304,8,5,Active,P. Singh
E0106,Rohit,Male,51,Sales,Sales Executive,Delhi,2021-07-15,45713,8,4,Active,R. Gupta
E0107,Amit,Male,42,Sales,Sales Manager,Delhi,2021-08-11,112101,5,5,Active,A. Sharma
E0108,Amit,Male,30,Finance,Finance Analyst,Hyderabad,2018-10-08,119082,13,2,Active,R. Gupta
E0109,Neha,Female,34,HR,HR Manager,Pune,2018-09-01,39226,10,2,Active,S. Mehta
E0110,Pooja,Male,55,IT,Data Analyst,Delhi,2021-01-28,94052,2,4,Active,P. Singh
E0111,Simran,Female,44,Operations,Operations Manager,Pune,2023-01-02,110734,11,4,Active,N. Verma
E0112,Sneha,Male,46,Finance,Finance Analyst,Chennai,2021-03-08,73681,6,5,Resigned,N. Verma
E0113,Nisha,Male,48,IT,Software Engineer,Mumbai,2020-03-02,80584,0,2,Active,S. Mehta
E0114,Amit,Male,37,Sales,Sales Executive,Bangalore,2021-04-15,97254,9,2,Active,N. Verma
E0115,Pooja,Female,34,IT,Data Analyst,Chennai,2022-05-27,80824,10,3,Resigned,R. Gupta
E0116,Ankit,Female,28,Finance,Finance Analyst,Pune,2020-07-10,38308,3,3,Resigned,P. Singh
E0117,Karan,Female,56,Sales,Sales Executive,Hyderabad,2019-05-23,34361,14,4,Active,N. Verma
E0118,Sneha,Female,49,IT,Data Analyst,Chennai,2021-09-21,88304,3,2,Active,S. Mehta
E0119,Sneha,Female,44,IT,Software Engineer,Kolkata,2018-08-16,78445,5,2,Resigned,A. Sharma
E0120,Rohit,Male,39,Sales,Sales Manager,Hyderabad,2019-01-30,70151,14,2,Active,S. Mehta
E0121,Ankit,Male,56,Sales,Sales Executive,Bangalore,2022-08-22,91343,5,3,Active,P. Singh
E0122,Neha,Female,21,Sales,Sales Executive,Delhi,2024-08-04,86987,7,3,Active,R. Gupta
E0123,Priya,Female,33,HR,HR Manager,Bangalore,2020-06-01,102812,8,4,Active,R. Gupta
E0124,Simran,Female,22,IT,Data Analyst,Kolkata,2021-03-08,92586,3,5,Active,S. Mehta
E0125,Rohit,Male,23,Finance,Accountant,Delhi,2021-06-10,81061,4,5,Active,S. Mehta
E0126,Ankit,Male,34,HR,HR Manager,Bangalore,2022-07-24,80726,4,5,Active,S. Mehta
E0127,Sneha,Male,54,Finance,Finance Analyst,Hyderabad,2024-10-23,64904,9,3,Active,S. Mehta
E0128,Ankit,Male,38,Sales,Sales Executive,Pune,2022-06-26,58138,5,3,Resigned,N. Verma
E0129,Sneha,Male,24,Operations,Operations Manager,Hyderabad,2023-01-05,44539,2,4,Active,A. Sharma
E0130,Pooja,Male,36,Operations,Operations Manager,Delhi,2019-06-09,78923,6,3,Active,R. Gupta
E0131,Pooja,Male,36,Operations,Operations Manager,Chennai,2023-07-11,95494,1,5,Resigned,P. Singh
E0132,Neha,Male,48,Sales,Sales Executive,Delhi,2021-06-25,31141,11,3,Active,S. Mehta
E0133,Rohit,Female,43,Finance,Finance Analyst,Delhi,2019-08-09,66325,4,4,Active,S. Mehta
E0134,Amit,Male,40,IT,Data Analyst,Chennai,2020-10-12,46475,14,3,Active,S. Mehta
E0135,Pooja,Male,46,Finance,Finance Analyst,Delhi,2024-09-11,115757,4,3,Active,S. Mehta
E0136,Amit,Male,57,Finance,Finance Analyst,Kolkata,2024-01-29,70099,11,2,Active,R. Gupta
E0137,Simran,Female,22,HR,HR Executive,Delhi,2021-11-22,87195,2,3,Active,A. Sharma
E0138,Karan,Male,24,Finance,Finance Analyst,Hyderabad,2018-10-08,38566,9,5,Active,A. Sharma
E0139,Pooja,Female,21,Operations,Operations Manager,Bangalore,2024-04-06,63801,0,5,Active,S. Mehta
E0140,Karan,Female,25,Finance,Finance Analyst,Delhi,2019-02-18,88065,5,4,Resigned,N. Verma
E0141,Karan,Female,27,HR,HR Manager,Mumbai,2022-09-26,41463,5,2,Active,N. Verma
E0142,Ankit,Female,24,HR,HR Manager,Bangalore,2023-09-24,71984,15,5,Active,N. Verma
E0143,Simran,Female,45,HR,HR Executive,Delhi,2018-11-18,27997,0,3,Active,N. Verma
E0144,Nisha,Male,26,IT,Data Analyst,Bangalore,2019-07-01,109483,4,2,Active,A. Sharma
E0145,Vikas,Female,55,IT,Software Engineer,Delhi,2018-07-20,43154,0,5,Active,N. Verma
E0146,Rohit,Female,50,Operations,Operations Manager,Hyderabad,2023-10-02,92972,9,5,Active,P. Singh
E0147,Nisha,Male,31,Operations,Operations Executive,Mumbai,2024-10-15,37102,9,2,Active,P. Singh
E0148,Neha,Male,49,Operations,Operations Executive,Kolkata,2023-05-25,54439,0,2,Active,P. Singh
E0149,Vikas,Male,46,IT,Software Engineer,Kolkata,2022-02-20,32013,9,5,Active,A. Sharma
E0150,Rohit,Female,27,HR,HR Manager,Pune,2021-05-22,60113,8,2,Active,A. Sharma
E0151,Neha,Female,43,Sales,Sales Executive,Hyderabad,2023-10-04,114694,5,4,Active,N. Verma
E0152,Priya,Male,21,IT,Data Analyst,Mumbai,2022-03-03,95293,4,3,Active,P. Singh
E0153,Rahul,Male,50,Finance,Accountant,Pune,2020-02-16,92506,10,3,Resigned,P. Singh
E0154,Priya,Female,40,IT,Software Engineer,Delhi,2020-02-20,43264,7,4,Resigned,R. Gupta
E0155,Nisha,Male,35,IT,Data Analyst,Hyderabad,2021-04-01,71084,0,3,Active,S. Mehta
E0156,Nisha,Female,36,Sales,Sales Executive,Bangalore,2022-01-13,50549,14,5,Active,P. Singh
E0157,Rohit,Male,57,Operations,Operations Executive,Kolkata,2024-11-01,64867,6,2,Resigned,P. Singh
E0158,Karan,Female,46,Sales,Sales Manager,Chennai,2023-07-24,27300,5,2,Active,S. Mehta
E0159,Nisha,Male,38,IT,Software Engineer,Delhi,2020-10-16,114896,1,3,Active,A. Sharma
E0160,Ankit,Female,24,IT,Software Engineer,Pune,2020-12-13,93207,2,2,Resigned,N. Verma
E0161,Rohit,Male,34,Operations,Operations Manager,Delhi,2022-05-03,39907,6,3,Resigned,S. Mehta
E0162,Rohit,Female,53,Sales,Sales Manager,Chennai,2021-12-17,61015,15,4,Active,N. Verma
E0163,Priya,Female,25,Operations,Operations Executive,Pune,2022-12-17,40801,0,2,Active,P. Singh
E0164,Pooja,Male,24,Operations,Operations Executive,Chennai,2021-12-18,90040,15,2,Resigned,P. Singh
E0165,Amit,Female,47,Finance,Accountant,Bangalore,2020-01-25,87062,2,3,Active,A. Sharma
E0166,Nisha,Male,48,Sales,Sales Manager,Pune,2022-06-17,119465,9,5,Active,S. Mehta
E0167,Simran,Male,35,HR,HR Manager,Mumbai,2022-09-12,103494,9,3,Active,P. Singh
E0168,Rahul,Male,30,IT,Software Engineer,Mumbai,2023-04-06,119058,1,4,Active,A. Sharma
E0169,Karan,Male,31,HR,HR Manager,Bangalore,2020-03-22,83056,1,4,Active,S. Mehta
E0170,Neha,Female,44,Operations,Operations Executive,Hyderabad,2018-05-04,80666,5,5,Active,A. Sharma
E0171,Ankit,Male,30,Sales,Sales Manager,Delhi,2023-11-12,70670,9,4,Resigned,A. Sharma
E0172,Karan,Female,38,Finance,Finance Analyst,Delhi,2019-04-18,98784,5,5,Resigned,S. Mehta
E0173,Amit,Female,47,Operations,Operations Manager,Chennai,2022-01-08,71842,0,2,Active,A. Sharma
E0174,Simran,Male,25,HR,HR Manager,Bangalore,2021-07-31,100404,11,4,Active,P. Singh
E0175,Rahul,Female,48,Operations,Operations Executive,Bangalore,2018-05-16,76706,7,3,Active,R. Gupta
E0176,Rahul,Male,22,IT,Software Engineer,Chennai,2021-02-06,66838,4,5,Active,R. Gupta
E0177,Simran,Female,21,HR,HR Executive,Chennai,2022-01-02,65151,2,5,Active,N. Verma
E0178,Priya,Female,42,IT,Data Analyst,Pune,2024-01-15,25317,5,2,Active,P. Singh
E0179,Karan,Female,21,Sales,Sales Executive,Mumbai,2023-11-22,92533,8,5,Resigned,A. Sharma
E0180,Priya,Female,28,Operations,Operations Executive,Mumbai,2024-03-14,61065,2,3,Active,S. Mehta
E0181,Rahul,Male,26,IT,Software Engineer,Kolkata,2018-05-27,109724,5,3,Active,N. Verma
E0182,Neha,Male,51,HR,HR Manager,Hyderabad,2022-04-25,41063,3,4,Active,R. Gupta
E0183,Simran,Male,21,Finance,Accountant,Pune,2019-08-22,64180,2,4,Active,A. Sharma
E0184,Neha,Male,34,Sales,Sales Manager,Mumbai,2023-09-28,96659,1,2,Active,A. Sharma
E0185,Rahul,Male,25,IT,Data Analyst,Kolkata,2021-09-27,48075,9,4,Active,R. Gupta
E0186,Ankit,Female,34,HR,HR Executive,Hyderabad,2020-07-12,112427,6,5,Active,S. Mehta
E0187,Nisha,Female,27,HR,HR Executive,Pune,2022-11-01,96678,4,4,Resigned,R. Gupta
E0188,Neha,Male,43,Operations,Operations Manager,Bangalore,2018-08-06,37705,5,4,Active,R. Gupta
E0189,Pooja,Female,46,Finance,Finance Analyst,Delhi,2021-05-04,105679,1,2,Active,R. Gupta
E0190,Sneha,Male,37,HR,HR Manager,Kolkata,2022-09-08,70522,4,4,Active,R. Gupta
E0191,Pooja,Female,21,IT,Software Engineer,Hyderabad,2024-03-20,27886,13,2,Resigned,A. Sharma
E0192,Vikas,Male,41,IT,Data Analyst,Delhi,2020-06-28,95935,0,5,Resigned,A. Sharma
E0193,Ankit,Female,42,HR,HR Manager,Chennai,2021-07-03,45185,11,3,Active,P. Singh
E0194,Amit,Female,37,HR,HR Manager,Pune,2024-10-21,106037,3,2,Resigned,S. Mehta
E0195,Priya,Female,46,IT,Software Engineer,Bangalore,2024-02-26,47593,8,2,Active,R. Gupta
E0196,Rahul,Male,53,Operations,Operations Executive,Pune,2018-03-10,55594,3,4,Active,S. Mehta
E0197,Simran,Female,21,Finance,Finance Analyst,Chennai,2021-10-26,93986,15,2,Active,P. Singh
E0198,Nisha,Male,48,IT,Data Analyst,Hyderabad,2018-12-24,116209,5,5,Active,A. Sharma
E0199,Ankit,Female,22,IT,Software Engineer,Kolkata,2018-10-12,63337,8,4,Active,N. Verma
E0200,Rahul,Male,44,HR,HR Executive,Hyderabad,2020-10-19,69612,11,2,Resigned,R. Gupta
E0201,Ankit,Female,58,IT,Data Analyst,Mumbai,2020-02-15,86538,4,3,Resigned,S. Mehta
E0202,Karan,Female,22,Operations,Operations Executive,Delhi,2023-07-31,108071,15,4,Active,N. Verma
E0203,Rahul,Female,51,Operations,Operations Manager,Bangalore,2020-03-13,69301,8,2,Active,R. Gupta
E0204,Simran,Female,47,HR,HR Executive,Kolkata,2024-05-23,64463,12,3,Active,P. Singh
E0205,Nisha,Male,52,Finance,Finance Analyst,Kolkata,2024-07-08,115326,2,2,Active,S. Mehta
E0206,Neha,Female,24,Finance,Accountant,Bangalore,2023-04-17,75122,2,2,Active,P. Singh
E0207,Rohit,Male,49,Sales,Sales Manager,Hyderabad,2018-11-09,80099,9,3,Active,S. Mehta
E0208,Neha,Female,39,Operations,Operations Manager,Mumbai,2022-03-25,27791,1,4,Active,S. Mehta
E0209,Neha,Female,57,Sales,Sales Manager,Mumbai,2021-08-19,94505,12,4,Active,S. Mehta
E0210,Priya,Female,25,Operations,Operations Manager,Hyderabad,2024-09-30,100240,10,3,Active,A. Sharma
E0211,Pooja,Male,51,IT,Data Analyst,Kolkata,2018-10-29,78084,5,2,Active,R. Gupta
E0212,Priya,Male,56,Operations,Operations Manager,Delhi,2021-02-26,46331,3,2,Active,P. Singh
E0213,Rahul,Male,35,HR,HR Manager,Mumbai,2020-12-09,101368,0,3,Active,A. Sharma
E0214,Nisha,Female,54,Operations,Operations Manager,Mumbai,2024-08-29,76011,11,3,Active,N. Verma
E0215,Neha,Male,42,Finance,Accountant,Pune,2019-10-05,71968,7,3,Active,P. Singh
E0216,Vikas,Male,46,IT,Software Engineer,Delhi,2021-11-11,40576,13,2,Active,S. Mehta
E0217,Amit,Male,38,Finance,Finance Analyst,Kolkata,2020-04-07,96843,8,4,Resigned,P. Singh
E0218,Amit,Female,46,Finance,Finance Analyst,Pune,2021-02-23,38427,12,2,Resigned,S. Mehta
E0219,Pooja,Female,52,Sales,Sales Executive,Delhi,2020-06-29,58723,11,4,Resigned,N. Verma
E0220,Amit,Female,55,HR,HR Manager,Pune,2023-07-03,75690,1,5,Active,P. Singh
E0221,Pooja,Female,41,IT,Software Engineer,Pune,2019-04-20,30563,10,3,Resigned,A. Sharma
E0222,Sneha,Male,53,Finance,Finance Analyst,Kolkata,2021-10-23,112825,9,2,Active,P. Singh
E0223,Ankit,Male,58,Operations,Operations Executive,Chennai,2023-07-30,35954,8,5,Active,R. Gupta
E0224,Priya,Male,44,Finance,Finance Analyst,Hyderabad,2018-08-17,56503,10,4,Active,S. Mehta
E0225,Ankit,Female,55,Operations,Operations Executive,Mumbai,2024-05-24,53184,7,2,Active,N. Verma
E0226,Ankit,Female,54,HR,HR Executive,Delhi,2019-10-16,96335,9,3,Active,A. Sharma
E0227,Neha,Male,27,Operations,Operations Manager,Delhi,2019-07-13,54841,11,4,Active,R. Gupta
E0228,Priya,Male,55,Operations,Operations Executive,Mumbai,2023-12-03,45617,7,4,Active,P. Singh
E0229,Karan,Male,46,Finance,Accountant,Delhi,2021-07-06,86006,12,5,Active,R. Gupta
E0230,Rahul,Female,50,Sales,Sales Executive,Mumbai,2019-03-04,72566,9,4,Active,R. Gupta
E0231,Priya,Male,39,Sales,Sales Executive,Chennai,2023-03-13,40032,11,5,Active,R. Gupta
E0232,Vikas,Female,42,Operations,Operations Executive,Pune,2021-01-19,29931,11,4,Active,N. Verma
E0233,Karan,Female,34,Finance,Accountant,Delhi,2024-04-24,109957,5,4,Active,R. Gupta
E0234,Rahul,Female,32,HR,HR Executive,Delhi,2023-03-11,113436,3,5,Active,P. Singh
E0235,Pooja,Male,21,Sales,Sales Executive,Kolkata,2021-07-08,74810,5,4,Active,R. Gupta
E0236,Pooja,Male,29,IT,Data Analyst,Mumbai,2018-12-13,49516,2,4,Resigned,S. Mehta
E0237,Sneha,Female,46,Sales,Sales Executive,Chennai,2024-06-30,117227,13,4,Active,R. Gupta
E0238,Rahul,Female,57,IT,Software Engineer,Pune,2020-06-30,52763,3,2,Resigned,S. Mehta
E0239,Sneha,Female,38,Sales,Sales Manager,Chennai,2022-12-15,38319,15,2,Active,N. Verma
E0240,Rahul,Female,42,Sales,Sales Manager,Hyderabad,2024-10-10,74329,10,5,Active,A. Sharma
E0241,Neha,Female,54,IT,Data Analyst,Bangalore,2023-03-21,93084,14,4,Active,S. Mehta
E0242,Pooja,Female,27,HR,HR Manager,Bangalore,2024-06-17,98196,13,3,Resigned,S. Mehta
E0243,Vikas,Male,42,Finance,Accountant,Bangalore,2018-07-28,104856,3,3,Resigned,S. Mehta
E0244,Pooja,Male,41,Finance,Accountant,Chennai,2021-08-23,37723,5,2,Active,A. Sharma
E0245,Rahul,Female,23,HR,HR Executive,Chennai,2018-02-04,109205,11,2,Active,A. Sharma
E0246,Amit,Male,52,Operations,Operations Manager,Kolkata,2018-03-15,61117,0,3,Active,S. Mehta
E0247,Karan,Female,47,IT,Software Engineer,Mumbai,2021-11-06,59918,5,5,Resigned,P. Singh
E0248,Nisha,Male,47,Operations,Operations Executive,Delhi,2024-08-12,118984,10,2,Resigned,A. Sharma
E0249,Rahul,Female,38,HR,HR Executive,Pune,2019-10-06,109621,4,3,Active,R. Gupta
E0250,Amit,Female,48,IT,Software Engineer,Bangalore,2021-09-17,118380,3,4,Resigned,S. Mehta
E0251,Vikas,Male,51,Finance,Finance Analyst,Mumbai,2019-02-08,115793,15,5,Resigned,R. Gupta
E0252,Amit,Male,27,Finance,Accountant,Kolkata,2018-10-01,68048,4,5,Resigned,R. Gupta
E0253,Pooja,Male,54,HR,HR Manager,Bangalore,2020-10-28,106859,4,2,Resigned,N. Verma
E0254,Vikas,Male,23,Operations,Operations Manager,Hyderabad,2021-11-07,25570,3,4,Active,N. Verma
E0255,Rahul,Male,55,IT,Data Analyst,Delhi,2021-11-29,92488,6,3,Active,R. Gupta
E0256,Rohit,Male,44,Sales,Sales Manager,Hyderabad,2024-05-12,64165,4,4,Active,A. Sharma
E0257,Neha,Male,52,HR,HR Executive,Pune,2022-12-19,116549,11,4,Active,N. Verma
E0258,Nisha,Male,54,HR,HR Manager,Bangalore,2018-08-26,39616,6,2,Resigned,P. Singh
